Schedule Name,Element,OCHRE Name,OCHRE Element,Values,Data Source
hot_water_fixtures,WaterFixturesWeekdayScheduleFractions,Water Heating,weekday_fractions,"0.012, 0.006, 0.004, 0.005, 0.010, 0.034, 0.078, 0.086, 0.080, 0.067, 0.056, 0.047, 0.040, 0.035, 0.033, 0.031, 0.038, 0.051, 0.060, 0.060, 0.055, 0.048, 0.038, 0.026",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_fixtures,WaterFixturesWeekendScheduleFractions,Water Heating,weekend_fractions,"0.007, 0.003, 0.002, 0.003, 0.006, 0.019, 0.044, 0.048, 0.045, 0.142, 0.119, 0.100, 0.085, 0.074, 0.052, 0.034, 0.027, 0.029, 0.034, 0.034, 0.031, 0.027, 0.021, 0.015",Derived from ANSI/RESNET/ICC 301-2022 Table C.3(5) weekday fractions scaled by ASHRAE 90.2/HERS weekend/weekday occupancy ratio
hot_water_fixtures,WaterFixturesMonthlyScheduleMultipliers,Water Heating,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
hot_water_recirculation_pump_no_control,RecirculationPumpWeekdayScheduleFractions,N/A,N/A,"0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042",Equation 4.2-43a of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump_no_control,RecirculationPumpWeekendScheduleFractions,N/A,N/A,"0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042",Equation 4.2-43a of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump_demand_control,RecirculationPumpWeekdayScheduleFractions,N/A,N/A,"0.012, 0.006, 0.004, 0.005, 0.010, 0.034, 0.078, 0.086, 0.080, 0.067, 0.056, 0.047, 0.040, 0.035, 0.033, 0.031, 0.038, 0.051, 0.060, 0.060, 0.055, 0.048, 0.038, 0.026",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump_demand_control,RecirculationPumpWeekendScheduleFractions,N/A,N/A,"0.012, 0.006, 0.004, 0.005, 0.010, 0.034, 0.078, 0.086, 0.080, 0.067, 0.056, 0.047, 0.040, 0.035, 0.033, 0.031, 0.038, 0.051, 0.060, 0.060, 0.055, 0.048, 0.038, 0.026",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump_temperature_control,RecirculationPumpWeekdayScheduleFractions,N/A,N/A,"0.067, 0.072, 0.074, 0.073, 0.069, 0.048, 0.011, 0.003, 0.009, 0.020, 0.030, 0.037, 0.043, 0.047, 0.050, 0.051, 0.044, 0.034, 0.026, 0.026, 0.030, 0.036, 0.045, 0.055",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump_temperature_control,RecirculationPumpWeekendScheduleFractions,N/A,N/A,"0.067, 0.072, 0.074, 0.073, 0.069, 0.048, 0.011, 0.003, 0.009, 0.020, 0.030, 0.037, 0.043, 0.047, 0.050, 0.051, 0.044, 0.034, 0.026, 0.026, 0.030, 0.036, 0.045, 0.055",Table C.3(5) of ANSI/RESNET/ICC 301-2022 Addendum C
hot_water_recirculation_pump,RecirculationPumpMonthlyScheduleMultipliers,N/A,N/A,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",
heating_setpoint,WeekdayScheduleFractions,HVAC Heating,weekday_fractions,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 68°F (20°C) constant heating setpoint (ASHRAE 90.2)
heating_setpoint,WeekendScheduleFractions,HVAC Heating,weekend_fractions,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 68°F (20°C) constant heating setpoint (ASHRAE 90.2)
heating_setpoint,MonthlyScheduleMultipliers,HVAC Heating,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 68°F (20°C) constant heating setpoint (ASHRAE 90.2)
cooling_setpoint,WeekdayScheduleFractions,HVAC Cooling,weekday_fractions,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 75°F (24°C) constant cooling setpoint (ASHRAE 90.2)
cooling_setpoint,WeekendScheduleFractions,HVAC Cooling,weekend_fractions,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 75°F (24°C) constant cooling setpoint (ASHRAE 90.2)
cooling_setpoint,MonthlyScheduleMultipliers,HVAC Cooling,month_multipliers,"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0",HERS Reference Home: 75°F (24°C) constant cooling setpoint (ASHRAE 90.2)
